Kiviluoma, Juha-Matti;VAS;78
Knaapila, Noora;VAS;130
Knuuttila, Antti;VAS;331
Kokkoniemi, Satu;VAS;25
Kuru, Irene;VAS;8
Lehtola, Petteri;VAS;27
Mäkelä, Olli;VAS;25
Niemi, Seppo;VAS;14
Ojala, Markus;VAS;20
Salo, Jarkko;VAS;26
Tuuttila, Teemu;VAS;40
Viitanen, Asko;VAS;24
Annala, Kimmo;LIIK;40
Kok, Sanna;LIIK;35
Lankio, Kari;LIIK;34
Lintala, Natalil;LIIK;135
Ahlgren, Jukka;PS;90
Ala-Riihimäki, Jarkko;PS;381
Auramo, Markku;PS;19
Franttila, Asko;PS;119
Haapasalmi, Hannu;PS;227
Havimäki, Janne;PS;9
Hautaluoma, Väinö;PS;81
Huhtanen, Timo;PS;40
Hyvönen, Ilkka;PS;128
Höykinpuro, Simo;PS;39
Juntunen, Lauri;PS;24
Kattelus-Kilpeläinen, Piia;PS;1093
Keränen, Heini;PS;37
Knuts, Riina;PS;88
Koivula, Laura;PS;17
Korpela, Marja-Liisa;PS;8
Kristo, Ville;PS;35
Kultalahti, Tauno;PS;2
Kuoppala, Erkki;PS;21
Kurikka, Leena;PS;55
Kähönen, Marko;PS;67
Latvala, Johanna;PS;20
Lepistö, Petri;PS;211
Leppäniemi, Vesa;PS;28
Luukko, Matti-Pekka;PS;74
Merivirta, Tommi;PS;114
Mäenpää, Tomi;PS;43
Mäkelä, Pasi;PS;75
Möttönen, Saku;PS;10
Niemi, Heikki;PS;133
Ojala, Mika;PS;13
Palmén, Jukka;PS;244
Peltola, Minna;PS;22
Perälä, Jari;PS;32
Pihlajamaa, Anssi;PS;23
Poola, Veli-Matti;PS;30
Rajala, Tiia;PS;68
Rasku, Aki;PS;69
Rintamäki, Petri;PS;20
Ritari, Petri;PS;32
Räsänen, Mervi;PS;25
Saarimäki, Timo;PS;50
Salminen, Pertti;PS;7
Siltala, Rami;PS;26
Sirviö, Juha-Pekka;PS;12
Soukkala, Janne;PS;43
Valtamäki, Erkki;PS;329
Viitala, Jari;PS;15
Ylikangas, Pekka;PS;21
Laukkonen, Mitja;PIR;30
Aaltonen, Elina;KOK;23
Ahokas, Noora;KOK;153
Ahopelto, Satu;KOK;116
Ahtola, Pekka;KOK;84
Aila, Mikko;KOK;210
Ala-Huikku, Jetro;KOK;8
Ala-Sankila, Jorma;KOK;59
Anttila, Kyllikki;KOK;36
Fairchild, Paul;KOK;102
Haapala, Mari;KOK;17
Haapamäki, Martti;KOK;23
Haavisto, Petri;KOK;47
Hakala, Marko;KOK;229
Hautanen, Raimo;KOK;45
Heinonen, Kimmo;KOK;283
Honkala, Erkki;KOK;64
Iskala, Risto;KOK;54
Isosaari, Esa;KOK;30
Jouppila, Tiina;KOK;50
Järvinen, Tomi;KOK;83
Kallio, Viljami;KOK;55
Kalliomäki, Matias;KOK;21
Karjalainen, Pete;KOK;43
Katajamäki, Päivi;KOK;27
Kekarainen, Ari;KOK;110
Kemppainen, Jukka;KOK;30
Kenkkilä, Frans;KOK;48
Keski-Jyrä, Johanna;KOK;62
Keskinen, Heikki;KOK;201
Keskinen, Jesse;KOK;52
Koivisto, Veikko;KOK;243
Kuisla, Reima;KOK;398
Kuivinen, Juha;KOK;70
Kuvaja, Matti;KOK;73
Kärnä, Anssi;KOK;17
Latomäki, Ilkka;KOK;77
Latvala, Vesa;KOK;34
Lehtisaari, Toni;KOK;17
Louhivesi, Jenni;KOK;21
Lounatvuori, Minna;KOK;48
Lozovaya, Mila;KOK;9
Luhtala, Jesse;KOK;193
Lähdesmäki, Liisa;KOK;51
Maijala, Aki;KOK;92
Manninen, Anneli;KOK;29
Mäkitöyli, Juhana;KOK;27
Nikkarikoski, Päivi;KOK;22
Nisula, Antti;KOK;29
Nurmela, Esa;KOK;5
Paakkanen, Timo;KOK;38
Packalén, John;KOK;9
Panu, Jarkko;KOK;152
Perttilä, Jenni;KOK;71
Pitkäkoski, Reijo;KOK;17
Porola, Lea;KOK;8
Rajakorpi, Harri;KOK;80
Rauhala, Jyrki;KOK;19
Rinta-Keturi, Mira;KOK;25
Risikko, Paula;KOK;1594
Ristilä, Raimo;KOK;268
Siik, Maarit;KOK;13
Siltanen, Pihle;KOK;8
Skoglund, Tomi;KOK;30
Soivio, Mika;KOK;97
Särmö, Kati;KOK;382
Tarri, Tapani;KOK;5
Tauriainen, Keijo;KOK;30
Tiitu, Tuija;KOK;41
Toivola, Sini;KOK;50
Tuurinkoski, Johanna;KOK;17
Vallejo Medina, Julio;KOK;30
Varis, Klaus;KOK;53
Välimaa, Henni;KOK;27
Välimäki, Voitto;KOK;59
Ylisiurua-Hemminki, Satu;KOK;130
Ylä-Autio, Ilmari;KOK;114
